"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 1.01167855700773 0.99729965495915 1.02338552576487
"1972" 1.02196720499404 1.0013740224006 1.04206454153867
"1973" 1.0347063004233 1.01036544360307 1.05533076014175
"1974" 1.04424078515834 1.0157210660224 1.07347880992841
"1975" 1.04385708150928 1.00429489845178 1.07617296638825
"1976" 1.04662754381593 1.00375935487383 1.07621604775673
"1977" 1.04069860931355 0.989313473403243 1.07419051933453
"1978" 1.02135866501378 0.970836686367266 1.05846766606902
"1979" 1.01164796576069 0.96252802878647 1.04283240557108
"1980" 1.00835259290191 0.955476109392397 1.04363574701383
"1981" 0.991863744788213 0.934200690918068 1.02664594402223
"1982" 0.977677340624838 0.919522183527307 1.01624817618993
"1983" 0.960333126130886 0.90406676810059 0.996205622441277
"1984" 0.955986476606989 0.8989758215277 0.994218418124865
"1985" 0.949118904806589 0.882591076962745 0.984247945692509
"1986" 0.951495448320696 0.882930984343806 0.988149100860086
"1987" 0.950503713366263 0.88026383220199 0.989566509305619
"1988" 0.942949052489513 0.877472328339556 0.980592446904975
"1989" 0.955519719218056 0.88226993721463 0.998505025584768
"1990" 0.961517056404818 0.890737673995316 1.01002895467769
"1991" 0.958219882186121 0.88440459602701 1.00502831734386
"1992" 0.941467184838911 0.866863773016128 0.992879006466331
"1993" 0.934779457431308 0.860446046098764 0.988362002392947
"1994" 0.914462268294225 0.843015697335657 0.965735828159267
"1995" 0.901925388909569 0.834297816993724 0.957399344849963
"1996" 0.886314007361803 0.818055455395353 0.93736913269889
"1997" 0.884892412630457 0.819009146666356 0.935127084210122
"1998" 0.862276076120653 0.794580015808361 0.913153607558935
"1999" 0.837506468388917 0.769484740317456 0.889104792780991
"2000" 0.821525497967077 0.754623856712758 0.875821745036362
"2001" 0.810903973402045 0.746478827563017 0.864760936936444
"2002" 0.803543887321725 0.737487593092647 0.857872273668792
"2003" 0.807105859928659 0.73420183540786 0.857385291881948
"2004" 0.804614116857618 0.734287788534362 0.857994747511404
"2005" 0.791349731795887 0.723234964213285 0.848664040654691
"2006" 0.781213795853708 0.710934628053296 0.847044987472539
"2007" 0.76951436323537 0.702332459982298 0.832542064219836
"2008" 0.759067033116489 0.689934983974262 0.829505120658993
"2009" 0.738145356403148 0.673725292206167 0.806141781846037
"2010" 0.711460095088947 0.658173757282374 0.773102637826788
"2011" 0.717166005254516 0.666310261804765 0.778549870202045
"2012" 0.700203557104173 0.643343723115616 0.761499145628417
"2013" 0.689561817252016 0.633337699126985 0.751446919121443
"2014" 0.673235133604612 0.615549640925448 0.739454191798374
"2015" 0.661825265329841 0.600774620079822 0.73132053373427
