ID,min_year,max_year
400,1991,2000
401,1991,2000
402,1975,1998
403,1983,1995
404,1975,1998
405,1958,1982
406,1970,1995
407,1970,2003
408,1975,1998
409,1975,1998
410,1975,1998
411,1975,1998
412,1953,1980
413,1963,1982
414,1966,2004
415,1975,1998
416,1975,1998
417,1966,2004
418,1976,2004
419,1975,1998
420,1966,2004
421,1975,1998
422,1966,2004
423,1975,1998
424,1975,1998
425,1978,1995
426,1975,1998
427,1978,1995
428,1975,1994
429,1980,1991
430,1978,1995
431,1963,1982
432,1975,1998
433,1960,1977
434,1975,1998
435,1975,1998
436,1984,1995
437,1975,1998
438,1966,2004
439,1975,1998
440,1975,1998
441,1984,1995
442,1994,2001
443,1966,2004
444,1975,1998
445,1985,1995
446,1966,2004
447,1966,2004
448,1977,1990
449,1975,1998
450,1960,1977
451,1975,1998
452,1960,1980
453,1975,1998
454,1978,1997
455,1978,1997
456,1975,1998
457,1965,1996
458,1984,1995
459,1990,2001
460,1990,2001
461,1990,2001
462,1976,1995
463,1990,2001
464,1990,2001
465,1990,2001
466,1988,1999
467,1988,1999
468,1962,1975
469,1964,1975
470,1960,1977
471,1975,1998
472,1963,1982
473,1960,1980
474,1975,1998
475,1960,1977
476,1975,1998
477,1966,2004
478,1975,1998
479,1975,1998
480,1975,1998
481,1993,2000
482,1991,2000
483,1991,2000
484,1991,2000
485,1991,2000
486,1991,2000
487,1991,2000
488,1991,2000
489,1991,2000
490,1992,2000
491,1991,2000
492,1985,2000
493,1970,2000
497,1991,1999
499,1991,1999
500,1970,2000
501,1970,2000
502,1970,2000
503,1970,2000
504,1952,2000
505,1972,2002
506,1991,2001
507,1990,2001
508,1990,2001
509,1990,2001
510,1992,2001
511,1990,2001
515,1991,1999
518,1991,1999
519,1980,2000
520,1980,2000
521,1970,2000
522,1970,2000
523,1970,2000
524,1980,2000
525,1970,2000
526,1970,2000
527,1970,2000
528,1970,2000
529,1970,2000
530,1970,2000
531,1970,2000
532,1980,2000
533,1970,2000
534,1973,1989
535,1970,1994
536,1980,1994
537,1969,2000
538,1975,1985
539,1956,2000
540,1985,1997
541,1959,2000
542,1970,1976
543,1952,1984
544,1970,2000
545,1970,2000
546,1970,2000
547,1970,2000
548,1970,2000
549,1970,2000
550,1970,2000
551,1975,1987
552,1962,1992
553,1962,1992
554,1950,2002
555,1980,2000
556,1953,1984
557,1979,1985
558,1975,1996
559,1995,2001
560,1995,2001
561,1985,1997
562,1990,2001
563,1990,2001
564,1999,2001
565,1979,1995
566,1990,2001
567,1990,2001
568,1990,2001
574,1998,1999
575,1978,1999
576,1970,2001
577,1970,2001
578,1970,2001
579,1970,2001
580,1970,2001
581,1965,2001
582,1965,2001
583,1965,2001
584,1965,2001
585,1965,2001
586,1965,2001
587,1965,2001
588,1963,2001
589,1963,2001
590,1965,2001
591,1964,1984
595,1998,1999
597,1998,1999
598,1965,1985
599,1950,1988
600,1983,1994
601,1965,1982
602,1975,1990
603,1953,1984
604,1970,1993
605,1996,2005
606,1981,1987
607,1975,1994
608,1986,1994
609,1989,2001
614,1970,2000
615,1970,2000
616,1970,2001
617,1990,2000
618,1980,2000
619,1989,1993
620,1986,1992
621,1970,2003
622,1977,1997
623,1965,2000
624,1965,2000
625,1971,2000
626,1969,1992
627,1964,1991
628,1998,1998
629,1980,1992
630,1965,1995
631,1982,1998
632,1950,1993
633,1991,1999
635,1991,1999
636,1966,1996
637,1985,1990
638,1970,2000
639,1970,2000
640,1980,1982
641,1983,1993
642,1988,2008
643,1983,1997
644,1983,1997
645,1986,1998
646,1986,1998
647,1987,1997
648,1986,1997
649,1989,1998
650,1987,1997
651,1987,1997
652,1970,1981
653,1956,1980
654,1973,1992
655,1981,1995
656,1981,1995
657,1981,1995
658,1981,1995
659,1981,1995
660,1981,1995
661,1981,1995
662,1981,1995
663,1981,1995
664,1981,1995
665,1981,1995
666,1981,1995
667,1981,1995
668,1981,1995
669,1981,1995
670,1971,1994
671,1963,2001
672,1963,2001
673,1965,2001
674,1992,2002
675,1994,1998
676,1993,1999
677,1985,2002
678,1991,2004
679,1991,2004
680,1975,1995
681,1990,2000
682,1990,2000
683,1965,2005
684,1970,1995
685,1999,2001
686,1975,1994
687,1959,1984
688,1986,1990
689,1965,2006
690,1975,1985
691,1989,1999
692,1967,1984
693,1990,1995
694,1975,1985
695,1962,1984
696,1962,1984
697,1962,1984
698,1962,1984
699,1962,1984
700,1962,1984
701,1962,1984
702,1962,1984
703,1962,1984
704,1962,1984
705,1962,1984
706,1962,1984
707,1962,1984
708,1962,1984
709,1962,1984
710,1962,1984
711,1962,1984
712,1962,1984
713,1962,1984
714,1962,1984
715,1962,1984
716,1962,1984
717,1962,1984
718,1962,1984
719,1962,1984
720,1962,1984
721,2003,2004
722,2003,2004
723,2003,2005
724,2003,2005
725,2003,2004
726,2003,2005
727,2003,2005
728,2004,2005
729,2003,2005
730,2003,2005
731,2003,2005
732,2003,2005
733,2003,2004
734,2003,2004
735,2003,2005
736,2003,2005
737,2003,2005
738,2003,2005
739,2003,2005
740,2003,2004
741,2003,2005
742,2003,2005
743,2003,2004
744,2003,2005
745,2003,2005
746,2003,2004
747,2003,2004
748,2003,2005
749,2003,2004
750,2003,2005
751,2003,2005
752,2003,2004
753,2003,2005
754,2003,2005
755,2003,2004
756,2003,2004
757,2003,2005
758,2003,2004
759,2003,2005
760,2003,2005
761,2003,2005
762,2003,2005
763,2003,2005
764,2003,2004
765,2003,2005
766,2003,2005
767,2003,2005
768,2003,2005
769,2003,2005
770,2003,2004
771,2003,2004
772,2003,2005
773,2003,2005
774,2003,2004
775,2003,2005
776,2003,2004
777,2003,2005
778,2003,2005
779,2003,2005
780,2003,2005
781,2003,2004
782,1990,2006
783,2003,2004
784,2003,2004
785,2003,2004
786,2003,2005
787,2003,2004
788,2003,2004
789,2003,2005
790,2003,2005
791,2003,2004
792,2003,2005
793,2003,2005
794,2003,2005
795,2003,2005
796,2003,2004
797,2003,2004
798,2003,2005
799,2003,2004
800,2003,2005
801,2004,2005
802,2003,2005
803,2003,2005
804,2003,2005
805,2003,2005
806,2003,2004
807,1995,2000
808,1985,1998
809,1980,1996
810,1974,2001
811,1988,1994
812,1985,1995
813,1990,1994
814,1981,1998
815,1980,1990
816,1980,1990
817,1980,1990
818,1980,1990
819,1978,2000
820,1978,1985
821,1968,1988
822,1950,1983
823,1968,1988
824,1967,1987
825,1967,1987
826,1983,2017
827,1993,1997
828,1970,1980
829,1950,1977
830,1975,1988
831,1975,1986
832,1973,2004
833,1974,1984
834,1978,1994
835,1980,1993
836,1989,1996
837,1989,1996
838,1976,1993
839,1995,2000
840,1980,1987
841,1984,1990
842,1970,1995
843,1960,1995
844,1960,1995
845,1967,2000
846,1980,2002
847,1971,1996
848,1950,1993
849,1950,1993
850,1950,1993
851,1950,1993
852,1950,1994
853,1950,1993
854,1950,1994
855,1966,1993
856,1950,1994
857,1951,1995
858,1950,1994
859,1950,1992
860,1966,1994
861,1950,1993
862,1951,1995
863,1952,1995
864,1968,1993
865,1968,1993
866,1951,1995
867,1969,1991
868,1951,1995
869,1951,1994
870,1951,1995
871,1951,1995
872,1970,1995
873,1970,1990
874,1964,1990
876,1970,2003
877,1950,1983
878,1971,1977
879,1982,2017
880,1968,1991
881,1971,1995
882,1979,1995
883,1982,1995
884,1983,1994
885,1950,1993
886,1950,1993
887,1965,1991
888,1961,1988
889,1960,1988
890,1970,1988
891,1983,2000
892,1974,1991
893,1974,1988
894,1977,1991
895,1977,1990
896,1977,1991
897,1983,2000
898,1958,1980
900,1971,1992
901,1976,1988
902,1979,1994
903,1982,1992
904,1986,1990
905,1991,1995
906,1986,1991
907,1985,1991
908,1985,1991
909,1991,1995
910,1979,2002
911,1978,1980
912,1978,1980
914,1978,1980
915,1979,1995
916,1982,1988
917,1991,1995
918,1979,1994
919,1970,1999
920,1987,1996
921,1988,1996
922,1988,1996
923,1989,1996
924,1990,1996
925,1986,1996
926,1975,1977
927,1991,1995
928,1982,1986
929,1982,1986
930,1982,1986
931,1974,1991
932,1988,2008
933,1986,1990
934,1986,1990
935,1986,1990
936,1985,1990
937,1979,1994
938,1975,1990
939,1975,1990
940,1975,1990
941,1975,1990
942,1986,1990
943,1976,1993
944,1979,1995
945,1986,1990
946,1986,1990
947,1986,1990
948,1979,1995
949,1986,1990
950,1986,1990
951,1978,1993
952,1986,1990
953,1991,1995
954,1979,1995
955,1975,1990
956,1974,1981
957,1975,1990
958,1991,1995
959,1979,1995
960,1979,1995
961,1986,1990
962,1986,1990
963,1979,1995
964,1986,1988
965,1986,1988
966,1991,1995
967,1986,1989
968,1991,1995
969,1991,1994
970,1985,1990
971,1985,1990
972,1979,1995
973,1977,1979
974,1991,1994
975,1991,1995
976,1985,1993
977,1977,1982
978,1977,1982
979,1974,1979
980,1976,1982
981,1975,1982
982,1975,1982
983,1975,1982
984,1975,1982
985,1986,1990
986,1979,1995
987,1991,1996
988,1986,1990
989,1986,1990
990,1979,1995
991,1967,1993
992,1955,2002
993,1961,2000
994,1965,1981
995,1956,2001
996,1967,1993
997,1961,2000
998,1967,1993
999,1955,2002
1000,1961,2000
1001,1955,2002
1003,1967,1993
1004,1961,2000
1006,1961,2000
1007,1955,2002
1008,1952,1977
1010,1967,1993
1011,1961,2000
1012,1961,2000
1013,1967,1993
1014,1955,2002
1015,1970,2000
1016,1970,1995
1018,1967,1993
1019,1955,2002
1020,1961,2000
1022,1961,2000
1023,1965,1981
1024,1955,2002
1025,1961,2000
1026,1961,2000
1027,1965,1981
1029,1955,2002
1030,1961,2000
1033,1961,2000
1035,1970,2014
1036,1967,1993
1038,1967,1993
1040,1967,1993
1041,1965,2000
1042,1961,2000
1044,1967,1993
1045,1970,2011
1046,1970,2011
1047,1950,2008
1048,1950,2004
1049,1976,2004
1050,1950,1951
1051,2002,2004
1052,1959,1978
1053,1969,1989
1054,1957,1987
1055,1961,1982
1056,1972,1986
1058,1984,1994
1059,1961,1986
1060,1968,2007
