"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Accipiter nisus",0.000179258050167653,0.0306449245232111,0.0320367956572819,0.0189076037616341,0.0012578522691456,-0.00490836209803065,-0.0066226256853451,-0.00764867919037529,-0.0087178454191426,-0.0089400193554241,-0.00858968202005073,-0.00852075099847715,-0.00584347523387377,-0.00699040304530462,-0.0147248473680876,-0.0217351035970297,-0.0153164635803298,0.0277521015421546,-0.000962103961464255,-0.00038953028557108,-0.0101048173002502,-0.0076171298020075,0.0098596135504648,-0.00901806503581315,-0.00678283971463634,18706083,0.0320367956572819,238
"Acridotheres tristis",NA,NA,NA,0.0621656909212462,0.0622521761506241,0.062022824755672,0.0611272497850954,0.0430128667857455,0.0417166606894478,0.0393073656543725,0.0346965685644393,0.0271973778824957,0.017717381320254,0.0087959928566681,0.00295575860087083,0.000723974152300633,0.000338530318871766,-0.000429079073641536,-0.00215885166961538,-0.00362772522257981,NA,NA,NA,NA,NA,59142818,0.0622521761506241,113
"Anthus cervinus",-0.0592055580877214,-0.0592055580877213,-0.0592055580877214,-0.0592055580877214,-0.0592055580877214,-0.0592055580877215,-0.0592055580877214,-0.0592055580877214,-0.0592055580877215,-0.0592055580877214,-0.0592055580877214,-0.0592055580877214,-0.0592055580877215,-0.0592055580877213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26285626,-0.0592055580877213,20.9
"Anthus pratensis",-0.00587157059152615,-0.0048308370865382,-0.00728520562076901,-0.0130587175906179,-0.0134148085465974,-0.0208464245823926,-0.023340093878659,-0.044355227544448,-0.0482901254712587,-0.0478203235268155,-0.0435838705783676,-0.0404149584967627,-0.0208400431275101,-0.0334486214210495,-0.0420425272861509,0.00560663101118841,-0.0881378624498347,-0.0466568689281875,-0.0464367973324156,-0.0113004572730217,-0.00755408038284666,-0.00899061358264593,-0.0121763283873159,-0.00966526428357128,0.00573281118002411,245281141,0.00573281118002411,18.4
"Anthus spinoletta",NA,NA,NA,-0.0163756942353206,-0.0163756942352151,-0.016375694235008,-0.0163756942347315,-0.0163756942344258,-0.0163756942341236,-0.0163756942338458,-0.0163756942335932,-0.0163756942333457,0.0339725957334794,0.0101735563959744,-0.121077368738666,-0.0396863543205547,0.02302810163635,-0.0336852213465649,-0.0308343800089594,-0.0288664687730653,-0.0267179668837658,-0.0227912626228419,-0.016436581730348,-0.00853238187111993,-0.000784998156236061,14704144,0.0339725957334794,23.9
"Anthus trivialis",-0.0415038309810479,-0.0873487055933742,-0.0776628092995287,-0.0211174370186258,0.0284811525497595,0.0424360745257014,0.0438753425947675,-0.0144742169070166,0.0119558534558288,0.00924532252688486,0.00502727812590764,0.00608044161679812,0.00778906864283199,0.0090033075892493,0.0101666231975277,0.0192275651008732,0.0507375029437938,0.0463485114771505,0.0109111583353185,-0.0812946236664407,-0.0878824637543574,-0.0398765606826521,0.00666189383203779,0.00876668427334017,-0.0142804370621357,28396612,0.0507375029437938,23.4
"Archilochus colubris",0.0102465819267987,0.0101714140685835,0.0100476904471271,0.0100087274455841,0.0101508660430049,0.0104827247021749,0.0108967824476301,0.01121869293456,0.0113172079618374,0.011175546215251,0.0108615578343055,0.0104492978059218,0.00999004887229229,0.00955677999031675,0.00929035407464561,0.00936199102842979,0.00984023795678878,0.0105526002563985,0.0110865400452657,0.011005719684461,0.0101639102331049,0.00884558404698898,0.00756574665442831,0.00669034187530973,0.00624042701971881,38146029,0.0113172079618374,3.1
"Ardea intermedia",NA,NA,-0.522878745280338,0.967815316628599,-0.240816588692336,-0.367976785294594,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0257983865764717,0.0257326401706348,0.0254509874781714,0.0247726946458098,0.0236671505272494,0.0222107038180916,0.273737094399748,0.0356814738682275,0.0353551720126354,-0.0810332509092184,24656085,0.967815316628599,600
"Asio flammeus",-0.0428769143001445,0.0919650657240793,-0.0999620422127148,-0.0555988210114317,0.0405739825062411,-0.0135165824394626,0.21031332189889,-0.0614069407738762,0.0612357921930326,0.00134220422479126,-0.103465894551951,0.0298416047624926,0.0208567491974748,-0.0973017975346247,-0.100248205516766,0.045771735123762,-0.0165959896418105,0.0923272285427824,0.0941734595696756,-0.0460218094309271,-0.0896779716347252,0.146074443753327,-0.10068780807301,0.225980584221902,-0.173492015909765,15555269,0.225980584221902,378
"Aythya affinis",-0.00474502391573144,-0.00930468023520058,-0.0120439056581621,-0.0122312172629363,-0.00796653945231889,0.000612802801347711,0.00862935855665796,0.00974249824879712,0.00256545940625679,-0.00777195570439254,-0.0151580376678252,-0.0181736170579855,-0.0189066771280951,-0.020024506987762,-0.0121021626806176,0.00279380800495451,0.0172937233085964,0.0211185566558412,0.0122102831668626,-2.13833148605499e-05,-0.00428236819890658,0.00129465086551502,0.00915824929462106,0.012111259003812,0.0100398044653793,25895447,0.0211185566558412,820
"Aythya fuligula",0.00305754946265939,0.126335674476685,0.0658348884063041,-0.0316282322806258,0.0280522068285694,-0.0979288615615044,0.066420206224132,-0.0197920059799642,-0.0949855031631275,-0.0595235043312331,-0.0461765374074031,0.0544919952195013,0.0427450750658808,-0.0214504232059448,0.0979688017869701,-0.073552933976417,0.126465163892439,-0.23271052787187,0.371611554268752,-0.361119488418224,0.339654100781584,0.0869583267924966,0.0611063681306494,-0.480134632729204,-0.991916635993832,35898153,0.371611554268752,702
