"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Accipiter gentilis",0.013605995464651,0.01545675803267,0.0171823059861126,0.0144574981346864,0.0121415696752686,0.00609789077455299,0.00466544158759768,0.00488459988196491,0.00152507635087765,0.00224192970885047,0.00243328059101729,0.0035020664017264,0.00251814189584723,0.00931436024185648,0.00858435826333548,-0.00955578732520158,0.0173717695743641,-0.0562320697302285,0.0300175218017767,-0.0812208349982023,0.00551041743314275,0.00545048814170227,0.00540754697624727,0.00538013005732248,0.00536477754085842,1712821,0.0300175218017767,902
"Accipiter striatus",-0.00750962025669567,-0.00889634684706125,-0.0100180734281551,-0.00995180672839323,-0.00849599055123474,-0.00368619296700048,-0.00311984091815916,-0.00101685233797751,-0.00135075461758998,-0.00100712710377362,-0.0010414836996997,-0.00195402902649337,-0.00273874690279659,-0.00221434630386668,-0.000913533298757616,-0.00104575442322116,-0.0046128716849306,-0.0118746482588692,-0.0122869426206021,-0.0222376806620203,-0.0272558721005387,-0.0245610400054771,0.0972160062317902,-0.00618909217002057,-0.00191405324070234,1282643,0.0972160062317902,136
"Alectoris rufa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0165088128084556,-0.0185679985959271,-0.0176303090591774,-0.00935620355926026,0.00811984808133582,0.0140156648716099,0.0159611493818066,0.0131050018582945,0.00627824898206221,-0.0033341806449632,-0.0142872013822449,-0.0246262379244514,-0.0325055303259044,-0.0368936221531832,1496778,0.0159611493818066,528
"Aquila audax",-0.0114804584734369,0.0109189401808969,0.00981461707043885,-0.0175678566234365,-0.0295236699502184,-0.00762832315895134,0.0198373963371923,0.0227717544912828,0.00544667329616277,-0.011696854329188,-0.0212070487939205,-0.0243380542981392,-0.0163052479856626,0.00449639340273544,0.0227397577176256,0.021168459962722,0.0054294134093229,-0.00338888882101018,-0.0190578390993459,NA,NA,NA,NA,NA,NA,1394979,0.0227717544912828,3466
"Atrichornis clamosus",0.0268480728281986,0.0362319314847246,0.0399757317817411,0.0352649050283533,0.0309068357691329,0.0362433680923115,0.0480506039409847,0.0173821753083356,0.0106309808480096,-0.00827901216533178,-0.0184759573590438,-0.000551699889374424,0.0464575843479533,0.0569657387832365,-0.0383073005972214,-0.0659981722579341,-0.0705268517635724,-0.0556599182810611,0.0202638439118332,0.00980797251008392,NA,NA,NA,NA,NA,11,0.0569657387832365,43.1
"Bubo bubo",0.0860791922070824,0.0920085007475541,0.10127730760041,0.0467512409658811,0.0332945240682461,0.0128163312623034,0.0075499651949876,0.0211297223856178,0.0446736989209401,0.0534352847794843,0.0424820940209805,0.0245614670572645,0.0206139428641497,0.0245512263920587,0.0287605900295546,0.0236160229783307,0.0158939655413681,0.00874921518389228,-0.0221982920779037,0.0452509442893509,-0.0207757897686705,0.00229529244085747,NA,NA,NA,558588,0.10127730760041,2686
"Calyptorhynchus lathami",NA,NA,NA,NA,NA,NA,0.0349196738167317,0.0445266866856171,0.0512818876953105,0.0422451245791549,0.0195880025861923,0.000292960145915178,-0.000720271891944346,0.0137209035708103,0.0261290812927575,0.0237271649267665,0.0123107791614232,0.00808984003893976,0.0171464163423738,0.0282728159081183,NA,NA,NA,NA,NA,140309,0.0512818876953105,437
"Catharus bicknelli",-0.0246636366649469,-0.0246443075351483,-0.0246251185400004,-0.0246064458516126,-0.0245881062828156,-0.0245694742290278,-0.0245501266920172,-0.0245303418829464,-0.0245108996284795,-0.024492405502937,-0.0244748236960289,-0.0244576086079438,-0.0244402336627388,-0.0244226341467649,-0.024405235273662,-0.0243886070619521,-0.0243730970539862,-0.0243587855184351,-0.0243457410306505,-0.024334205801179,-0.024324464422229,-0.0243166056900633,-0.0243105262343801,-0.0243061326194036,-0.0243033795646156,3894,-0.0243033795646156,27.8
"Ceratogymna atrata",NA,NA,NA,NA,NA,NA,-0.441045301807641,-0.448817500391428,0.0553981014446807,0.0553981014446806,0.0553981014446806,0.0553981014446806,0.0553981014446807,0.0553981014446806,0.0553981014446806,0.0553981014446806,0.0553981014446807,0.0553981014446806,0.0553981014446805,0.0553981014446807,-1,1,NA,NA,NA,1742284,1,1204
"Ceratogymna elata",NA,NA,NA,0.179650873428975,0.179650873428975,0.179650873428975,-0.576094428291492,0.0102019665595839,0.0102019665595838,0.0102019665595841,0.0102019665595838,0.0102019665595839,0.0102019665595838,0.0102019665595839,0.0102019665595841,0.0102019665595838,0.0102019665595839,0.0102019665595838,0.0102019665595841,0.0102019665595838,-1,0,NA,NA,NA,142372,0.179650873428975,1925
"Cinclus mexicanus",-0.0022510586489296,-0.00207640371447826,-0.00190276130141176,-0.00173623980548332,-0.00157225484259338,-0.00141064931521739,-0.00125895146045762,-0.0011216414868136,-0.000994848652291047,-0.000871807426025328,-0.0007471925991277,-0.000619115952971261,-0.000496997809855793,-0.000406382804373995,-0.00037320045617617,-0.000398057082110714,-0.000452703510843033,-0.000503391810234288,-0.000530239659666143,-0.000525653950892879,-0.000490367653023238,-0.000439468132324428,-0.000399697592784465,-0.00038768810330525,-0.000395483895143212,307011,-0.00037320045617617,56.8
"Circaetus cinereus",0.462843649643315,0.501361482207464,0.4180445602226,0.316090770979513,0.235352369433799,NA,0.00842695765287454,0.00842695765287438,0.00842695765287449,0.00842695765287438,0.0084269576528746,0.00842695765287438,0.00842695765287454,0.00842695765287443,0.00842695765287449,0.00842695765287449,0.00842695765287449,0.00842695765287438,0.00842695765287449,0.00842695765287449,0.00842695765287449,0.00842695765287449,0.00842695765287443,0.00842695765287449,0.00842695765287449,852915,0.501361482207464,2048
"Circus ranivorus",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400001,0,507
"Conopophaga lineata",-0.0774563880979962,-0.0774563880979962,-0.0774563880979962,-0.0774563880979962,-0.0774563880979962,-0.0276605396332563,-0.0276605396332563,-0.0276605396332563,0.0151438712087031,0.0151438712087031,0.0579482820506623,0.0579482820506625,0.0579482820506625,0.0579482820506625,0.0579482820506623,0.0579482820506625,0.0579482820506623,0.0579482820506625,0.0579482820506625,0.0579482820506625,0.0579482820506624,NA,-0.0791812460476248,NA,-1,674123,0.0579482820506625,25.6
