"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","Class"
"Acanthis flammea",-0.0480929990168712,-0.0328760591073693,-0.0144426337085202,0.014611744657191,0.0328619014469793,0.104093060372623,0.109620778530212,0.103416035255331,-0.0182350764872343,-0.0287271159470024,-0.00314530236189198,0.00327841183086421,0.00605381890446744,0.110504525196446,0.0355697300623457,0.0402468777056289,0.0419734185588877,0.0466169792083849,0.0503482706365709,0.0530716012916957,0.0550724319365457,0.00523307488685615,0.00785995174216092,0.0103278120647073,-0.00222770919569874,"Aves"
"Accipiter badius",NA,NA,NA,NA,NA,NA,-0.0374060002856954,-0.0374060002856954,-0.0374060002856954,-0.0374060002856953,-0.0374060002856954,-0.0374060002856954,-0.0374060002856954,-0.0374060002856953,-0.0374060002856954,-0.0374060002856953,-0.0374060002856954,-0.0374060002856954,-0.0374060002856954,-0.0374060002856953,-0.0374060002856955,-0.0374060002856953,-0.0374060002856953,-0.0374060002856955,-0.0374060002856953,"Aves"
"Acrocephalus australis",NA,NA,NA,0.0586548703149601,0.0573919542310533,0.0548613909944278,0.0511514844106848,0.0806519894313331,0.0353754404255551,0.00230630138292309,0.0129412138660618,0.0231506953104597,-0.0145141947058264,-0.066465242633981,-0.0593334550153143,0.0113946882672796,0.0691649738945809,0.0579791013902722,0.00731271458147309,-0.0242906083902078,-0.0483912046100532,NA,NA,NA,NA,"Aves"
"Acrocephalus luscinius",-0.0104633173380841,-0.0104633173380841,-0.0104633173380841,-0.0104633173380839,-0.0104633173380841,-0.0104633173380841,-0.0104633173380841,-0.0104633173380839,-0.0104633173380841,-0.0104633173380841,-0.0252043534973108,-0.0252043534973108,-0.0252043534973108,-0.0252043534973108,-0.0252043534973108,-0.0252043534973108,-0.0252043534973108,-0.0252043534973108,-0.0252043534973108,-0.0252043534973108,NA,NA,NA,NA,NA,"Aves"
"Actitis macularius",-0.0124785381606363,-0.0125213622608387,-0.012579997693982,-0.0126448277500486,-0.0127042545339108,-0.0127531968983962,-0.0127978151379521,-0.0128487390924408,-0.0129073794888906,-0.0157259547638186,-0.0157494027765594,-0.015736926012391,-0.0156896268717788,-0.0156150375418321,-0.0155195745778353,-0.0154073858555993,-0.0152831180729419,-0.015152510554509,-0.012190332094321,-0.0120497726765625,-0.0119176470817267,-0.0117983885789206,-0.0116920718927238,-0.0115949499889343,-0.0115070481560254,"Aves"
"Aerodramus maximus",-0.0219075678197385,-0.0219075678197376,-0.311113570934512,-0.0729812529909832,-0.0729812529909832,-0.0729812529909823,0.110924374808178,0.110924374808178,0.0146918888426049,0.0146918888426049,-0.0146918888426049,-0.0146918888426049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aves"
"Aix sponsa",0.0126616378493757,0.0127850425871892,0.0127889736991983,0.0126644409875137,0.0124722541526117,0.012274645683535,0.0120910908263897,0.0119170679248214,0.0117590828424347,0.0116347168901849,0.0115498052727794,0.0114962982810004,0.01147697359241,0.0115201052673054,0.0116592847566823,0.0118993187338294,0.0122056987488234,0.0125247131957974,0.0128070714686066,0.0130128842180469,0.0131086900615848,0.0130798711105114,0.0129540915807764,0.0128014642422917,0.0126934510496036,"Aves"
"Alca torda",0.00543120659739419,0.00461463684155972,0.00549958842885511,0.0109402487336064,0.0126638795657611,0.0134389518598418,0.0126321829008976,0.0132387421408396,0.0116374192183072,0.0138354112199703,0.0123790702601168,0.0104730567207216,0.00749631409467696,0.032865263547265,-0.0907506275857099,0.0123375804152065,-0.0808313871946099,-0.0137517631986084,0.0908280812736135,-0.0543776812307926,-0.0779281933301309,0.0292765341685435,0.037943717415871,0.0448711338598622,0.0515395612468821,"Aves"
"Alopecoenas xanthonurus",-0.0553564430594635,-0.0400569624645067,-0.0247052948687271,-0.0115299607465414,-0.00112817143912058,0.0067735861324596,0.0123415796044911,0.0157259096366026,0.017504304886948,0.0184218289883457,0.0432438508313798,0.0779449590608925,0.0779449590608923,0.0779449590608925,0.0779449590608925,0.0779449590608923,0.0779449590608925,0.0779449590608925,0.0779449590608925,0.0779449590608925,NA,NA,NA,NA,NA,"Aves"
"Amazona tucumana",-0.0384068620332769,-0.0384068620332769,-0.0384068620332774,-0.0384068620332769,-0.0384068620332774,-0.0384068620332774,-0.0384068620332769,-0.0384068620332769,-0.0384068620332774,-0.0384068620332774,-0.0384068620332769,-0.0384068620332774,-0.0384068620332769,-0.0905371828010044,-0.519203431016638,0.438380524134797,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aves"
