"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches"
"Netuma proxima","Brustiarius proximus",FALSE,1,992738,TRUE,"",1
"Oncorhynchus mykiss","Oncorhynchus mykiss (in domain Bacteria)",FALSE,1,5256670,FALSE,"",2
"Otaria flavescens","Otaria byronia",FALSE,1,273182,TRUE,"",1
"Pagophilus groenlandicus","Phoca groenlandica",FALSE,1,664062,TRUE,"sibling_higher",1
"Paralichthys oblongus","Hippoglossina oblonga",FALSE,1,404819,TRUE,"",1
"Passerculus henslowii","Centronyx henslowii",TRUE,0.833333313465118,292636,FALSE,"",1
"Passerella arborea","Spizelloides arborea",FALSE,1,463026,TRUE,"",1
"Pekania pennanti","Martes pennanti",FALSE,1,4697,TRUE,"",1
"Petrochelidon nigricans","Hirundo nigricans",FALSE,1,119537,TRUE,"",1
"Phalaropus fulicarius","Phalaropus fulicaria",FALSE,1,809003,TRUE,"",1
"Phoeniconaias minor","Phoenicoparrus minor",FALSE,1,1030753,TRUE,"",1
"Rhynchophanes mccownii","Calcarius mccownii",FALSE,1,948132,TRUE,"sibling_higher",1
"Rupornis magnirostris","Buteo magnirostris",FALSE,1,458089,TRUE,"sibling_higher",1
"Saimiri collinsi","Saimiri sciureus collinsi",FALSE,1,923682,TRUE,"infraspecific",1
"Saxicola torquatus","Saxicola torquata",FALSE,1,825641,TRUE,"",1
"Sephanoides sephaniodes","Sephanoides sephanoides",FALSE,1,513894,TRUE,"",1
"Spatula clypeata","Anas clypeata",FALSE,1,656794,TRUE,"sibling_higher",1
"Spatula cyanoptera","Anas cyanoptera",FALSE,1,82411,TRUE,"sibling_higher",1
"Spatula discors","Anas discors",FALSE,1,82415,TRUE,"sibling_higher",1
"Spatula querquedula","Anas querquedula",FALSE,1,604176,TRUE,"sibling_higher",1
"Spermophilus parryii","Urocitellus parryii",FALSE,1,289901,TRUE,"",1
"Steganopus tricolor","Phalaropus tricolor",FALSE,1,214789,TRUE,"",1
"Sylvia conspicillata","Curruca conspicillata",FALSE,1,961447,TRUE,"",1
"Sylvia melanocephala","Curruca melanocephala",FALSE,1,1093905,TRUE,"",1
"Taeniurops meyeni","Taeniura meyeni",FALSE,1,688878,TRUE,"",1
"Taurotragus oryx","Tragelaphus oryx",FALSE,1,70832,TRUE,"",1
"Thalassarche melanophris","Thalassarche melanophrys",FALSE,1,320271,TRUE,"",1
"Thinornis cucullatus","Thinornis rubricollis",FALSE,1,827421,TRUE,"",1
"Threskiornis moluccus","Threskiornis molucca",TRUE,0.899999976158142,293724,FALSE,"",1
"Troglichthys rosae","Amblyopsis rosae",FALSE,1,421392,TRUE,"",1
"Vanellus spinosus","Hoplopterus spinosus",FALSE,1,313115,TRUE,"",1
"Zearaja chilensis","Dipturus chilensis",FALSE,1,469501,TRUE,"",1
