"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Acridotheres tristis",NA,NA,NA,0.0621656909212462,0.0622521761506241,0.062022824755672,0.0611272497850954,0.0430128667857455,0.0417166606894478,0.0393073656543725,0.0346965685644393,0.0271973778824957,0.017717381320254,0.0087959928566681,0.00295575860087083,0.000723974152300633,0.000338530318871766,-0.000429079073641536,-0.00215885166961538,-0.00362772522257981,NA,NA,NA,NA,NA,59142818,0.0622521761506241,113
"Anthus pratensis",-0.00587157059152615,-0.0048308370865382,-0.00728520562076901,-0.0130587175906179,-0.0134148085465974,-0.0208464245823926,-0.023340093878659,-0.044355227544448,-0.0482901254712587,-0.0478203235268155,-0.0435838705783676,-0.0404149584967627,-0.0208400431275101,-0.0334486214210495,-0.0420425272861509,0.00560663101118841,-0.0881378624498347,-0.0466568689281875,-0.0464367973324156,-0.0113004572730217,-0.00755408038284666,-0.00899061358264593,-0.0121763283873159,-0.00966526428357128,0.00573281118002411,245281141,0.00573281118002411,18.4
"Archilochus colubris",0.0102465819267987,0.0101714140685835,0.0100476904471271,0.0100087274455841,0.0101508660430049,0.0104827247021749,0.0108967824476301,0.01121869293456,0.0113172079618374,0.011175546215251,0.0108615578343055,0.0104492978059218,0.00999004887229229,0.00955677999031675,0.00929035407464561,0.00936199102842979,0.00984023795678878,0.0105526002563985,0.0110865400452657,0.011005719684461,0.0101639102331049,0.00884558404698898,0.00756574665442831,0.00669034187530973,0.00624042701971881,38146029,0.0113172079618374,3.1
"Aythya fuligula",0.00305754946265939,0.126335674476685,0.0658348884063041,-0.0316282322806258,0.0280522068285694,-0.0979288615615044,0.066420206224132,-0.0197920059799642,-0.0949855031631275,-0.0595235043312331,-0.0461765374074031,0.0544919952195013,0.0427450750658808,-0.0214504232059448,0.0979688017869701,-0.073552933976417,0.126465163892439,-0.23271052787187,0.371611554268752,-0.361119488418224,0.339654100781584,0.0869583267924966,0.0611063681306494,-0.480134632729204,-0.991916635993832,35898153,0.371611554268752,702
"Aythya nyroca",-0.049328086656978,-0.05480898517442,-0.05480898517442,-0.071267366772449,-0.152839650229447,-0.116967120971443,-0.102247969497502,-0.118488310039535,-0.0998308726587434,-0.0672139372998912,-0.074245001610805,-0.0545263515150183,0.037821226170552,-0.0227758832657161,-0.0545263515150183,0.012113751626007,0.332134092944558,0.33213409294518,0.332134092946181,0.332134092947097,0.332134092947604,0.332134092947716,0.332134092947675,NA,NA,34714594,0.332134092947716,574
"Bubulcus ibis",0.117552714419345,0.098017154959253,0.0737294464581042,-0.00112553661895,0.083098827895842,0.0792692316647723,0.117485240837647,0.0870796179674096,0.14238547655882,0.0676691449039845,0.122306516278097,-0.00837491327289448,0.122142438108026,0.0126674418678075,0.0245409008161737,-0.00510937134536501,0.061016588403996,0.0335722053113908,0.0450964393380743,0.0488489228155529,0.0823439143553099,0.0298005627873078,0.0570441391620752,0.336345874635842,0.237657474461403,166208709,0.336345874635842,366
"Calcarius lapponicus",0.269619065146947,-0.294652365291615,0.155379400889263,0.101723014185351,-0.0250333001446676,-0.0250333001446676,-0.0250333001446676,-0.0250333001446676,-0.00572220216597541,-0.00318846819353025,0.00127998139947194,0.00646036367328306,0.011851233670668,0.00589434606381204,0.00709149667447356,0.0110172334318828,0.0141493935003314,0.0157404350617514,0.0159009806734116,0.0154241129797249,-0.0132315380206463,0.236224011132915,-0.264353272447338,-0.043167754554747,0.321417171135244,154820347,0.321417171135244,27.9
"Calidris canutus",-0.00554589806452613,-0.000205633340412501,0.0122101639246626,-0.00733798145276753,0.00762801324249234,0.0680499179361052,-0.0360347053461728,0.00764403442972591,-0.00476516065577019,-0.0137300088090196,-0.0326457175731765,-0.0338343334020623,-0.0146289731420745,-0.0338284672850521,-0.00907486581499837,-0.00691787236456975,-0.0416489032457336,-0.0491371310875114,-0.00728579696565861,-0.00775024779241546,-0.00137773304581968,-0.00967602071978939,0.00999946799337035,-0.0130300739154892,-0.0306820420248951,62640390,0.0680499179361052,142
"Calidris minuta",0.00899111062297451,0.00878216605548514,-0.0621380919320774,0.0810586218927837,-0.0527561645119135,0.114962013274603,-0.0493677922312898,-0.0583236485792387,0.164370290873463,-0.0455157565017614,0.12428130359973,-0.0191138104181963,0.0424114417911613,-0.0134441441279514,0.0414643971076769,-0.0878215331570943,0.0367893241817455,0.0316851234626323,-0.0351357639524907,-0.0648465064090006,-0.0629275101146765,-0.0487809878801456,0.175097517167541,-0.0238140451084896,0.0313013809937872,79994541,0.175097517167541,21.1
"Calidris pusilla",-0.0061188821505286,0.0125422955973175,0.00613504919725591,-0.0701481393727394,-0.0179967739777168,-0.017996773977717,-0.0125249270786559,-0.259393695308992,0.0373942968647484,0.0373942968647483,-0.0125249270786562,-0.0125249270786562,-0.0125249270786556,-0.0125249270786559,-0.0125249270786559,-0.0125249270786559,-0.0125249270786559,0.00096506175688602,-0.0125249270786559,-0.0125249270786559,-0.0125249270786559,-0.0967420690082482,-0.0967420690082482,0.702206490028495,NA,78862750,0.702206490028495,27.5
"Calidris ruficollis",-0.0576053518948099,-0.0198742992627366,-0.0530347138799707,-0.0246133893779753,-0.0064081324434802,-0.0286005713008006,0.0131912143482846,-0.0346379359306706,-0.020148734206384,-0.0201114013826293,-0.00577366944975034,-0.024000206513311,-0.0131482588424837,-0.0109497073652541,0.0181086022388702,-0.00559925659333706,-0.00185974915381191,-0.00394539102313846,-0.021706916836186,-0.012386417003721,-0.03128185459673,-0.0514764315601124,-0.00466573707502448,-0.0302816290011515,-0.0241077221286087,42947992,0.0181086022388702,26.8
