"Family","Genus","Species","Body Mass(gram)","Binomial"
"Accipitridae","Accipiter","bicolor",301,"Accipiter bicolor"
"Accipitridae","Accipiter","brevipes",188,"Accipiter brevipes"
"Accipitridae","Accipiter","castanilius",160,"Accipiter castanilius"
"Accipitridae","Accipiter","chilensis",368,"Accipiter chilensis"
"Accipitridae","Accipiter","chionogaster",76,"Accipiter chionogaster"
"Accipitridae","Accipiter","cirrhocephalus",172,"Accipiter cirrhocephalus"
"Accipitridae","Accipiter","collaris",154.4,"Accipiter collaris"
"Accipitridae","Accipiter","cooperii",439,"Accipiter cooperii"
"Accipitridae","Accipiter","erythronemius",125,"Accipiter erythronemius"
"Accipitridae","Accipiter","erythropus",115,"Accipiter erythropus"
"Accipitridae","Accipiter","fasciatus",381,"Accipiter fasciatus"
"Accipitridae","Accipiter","gentilis",902,"Accipiter gentilis"
"Accipitridae","Accipiter","gularis",222,"Accipiter gularis"
"Accipitridae","Accipiter","melanoleucus",699,"Accipiter melanoleucus"
"Accipitridae","Accipiter","minullus",88.4,"Accipiter minullus"
"Accipitridae","Accipiter","nisus",238,"Accipiter nisus"
"Accipitridae","Accipiter","novaehollandiae",376,"Accipiter novaehollandiae"
"Accipitridae","Accipiter","ovampensis",195,"Accipiter ovampensis"
"Accipitridae","Accipiter","poliogaster",215,"Accipiter poliogaster"
"Accipitridae","Accipiter","rufiventris",198,"Accipiter rufiventris"
"Accipitridae","Accipiter","soloensis",166,"Accipiter soloensis"
"Accipitridae","Accipiter","striatus",136,"Accipiter striatus"
"Accipitridae","Accipiter","superciliosus",104,"Accipiter superciliosus"
"Accipitridae","Accipiter","tachiro",292,"Accipiter tachiro"
"Accipitridae","Accipiter","trivirgatus",276,"Accipiter trivirgatus"
"Accipitridae","Accipiter","ventralis",233,"Accipiter ventralis"
"Accipitridae","Accipiter","virgatus",116,"Accipiter virgatus"
"Accipitridae","Aegypius","monachus",9625,"Aegypius monachus"
"Accipitridae","Aegypius","occipitalis",4700,"Aegypius occipitalis"
"Accipitridae","Aegypius","tracheliotus",6600,"Aegypius tracheliotus"
"Accipitridae","Aquila","audax",3466,"Aquila audax"
"Accipitridae","Aquila","chrysaetos",4264,"Aquila chrysaetos"
"Accipitridae","Aquila","clanga",2206,"Aquila clanga"
"Accipitridae","Aquila","heliaca",3215,"Aquila heliaca"
"Accipitridae","Aquila","nipalensis",2746,"Aquila nipalensis"
"Accipitridae","Aquila","pomarina",1370,"Aquila pomarina"
"Accipitridae","Aquila","rapax",2250,"Aquila rapax"
"Accipitridae","Aquila","verreauxi",4195,"Aquila verreauxi"
"Accipitridae","Aquila","wahlbergi",640,"Aquila wahlbergi"
"Accipitridae","Aviceda","cuculoides",277,"Aviceda cuculoides"
"Accipitridae","Aviceda","jerdoni",363,"Aviceda jerdoni"
"Accipitridae","Aviceda","leuphotes",196,"Aviceda leuphotes"
"Accipitridae","Aviceda","subcristata",327,"Aviceda subcristata"
"Accipitridae","Busarellus","nigricollis",650,"Busarellus nigricollis"
"Accipitridae","Butastur","indicus",415,"Butastur indicus"
"Accipitridae","Butastur","liventer",338,"Butastur liventer"
"Accipitridae","Butastur","rufipennis",335,"Butastur rufipennis"
"Accipitridae","Butastur","teesa",325,"Butastur teesa"
"Accipitridae","Buteo","albicaudatus",886,"Buteo albicaudatus"
"Accipitridae","Buteo","albigula",482.1,"Buteo albigula"
"Accipitridae","Buteo","albonotatus",757,"Buteo albonotatus"
"Accipitridae","Buteo","archeri",830.53,"Buteo archeri"
"Accipitridae","Buteo","auguralis",670,"Buteo auguralis"
"Accipitridae","Buteo","brachyurus",511,"Buteo brachyurus"
"Accipitridae","Buteo","buteo",727,"Buteo buteo"
"Accipitridae","Buteo","hemilasius",1375,"Buteo hemilasius"
"Accipitridae","Buteo","jamaicensis",1111,"Buteo jamaicensis"
"Accipitridae","Buteo","lagopus",956,"Buteo lagopus"
"Accipitridae","Buteo","leucorrhous",290,"Buteo leucorrhous"
"Accipitridae","Buteo","lineatus",607,"Buteo lineatus"
"Accipitridae","Buteo","magnirostris",269,"Buteo magnirostris"
"Accipitridae","Buteo","nitidus",529,"Buteo nitidus"
"Accipitridae","Buteo","oreophilus",700,"Buteo oreophilus"
"Accipitridae","Buteo","platypterus",455,"Buteo platypterus"
"Accipitridae","Buteo","polyosoma",788,"Buteo polyosoma"
"Accipitridae","Buteo","regalis",1470,"Buteo regalis"
"Accipitridae","Buteo","rufinus",1175,"Buteo rufinus"
"Accipitridae","Buteo","rufofuscus",1530,"Buteo rufofuscus"
"Accipitridae","Buteo","swainsoni",959,"Buteo swainsoni"
"Accipitridae","Buteo","ventralis",1194,"Buteo ventralis"
"Accipitridae","Buteogallus","aequinoctialis",660,"Buteogallus aequinoctialis"
"Accipitridae","Buteogallus","anthracinus",996,"Buteogallus anthracinus"
"Accipitridae","Buteogallus","meridionalis",808,"Buteogallus meridionalis"
"Accipitridae","Buteogallus","urubitinga",1157,"Buteogallus urubitinga"
"Accipitridae","Chondrohierax","uncinatus",287,"Chondrohierax uncinatus"
"Accipitridae","Circaetus","cinerascens",2048,"Circaetus cinerascens"
"Accipitridae","Circaetus","cinereus",2048,"Circaetus cinereus"
"Accipitridae","Circaetus","fasciolatus",1017,"Circaetus fasciolatus"
"Accipitridae","Circaetus","gallicus",1700,"Circaetus gallicus"
"Accipitridae","Circus","aeruginosus",712,"Circus aeruginosus"
"Accipitridae","Circus","approximans",755,"Circus approximans"
"Accipitridae","Circus","assimilis",568,"Circus assimilis"
"Accipitridae","Circus","buffoni",517,"Circus buffoni"
"Accipitridae","Circus","cinereus",406,"Circus cinereus"
"Accipitridae","Circus","cyaneus",401,"Circus cyaneus"
"Accipitridae","Circus","macrourus",389,"Circus macrourus"
"Accipitridae","Circus","maurus",509,"Circus maurus"
"Accipitridae","Circus","melanoleucos",340,"Circus melanoleucos"
"Accipitridae","Circus","pygargus",316,"Circus pygargus"
"Accipitridae","Circus","ranivorus",507,"Circus ranivorus"
"Accipitridae","Circus","spilonotus",562,"Circus spilonotus"
"Accipitridae","Dryotriorchis","spectabilis",1045,"Dryotriorchis spectabilis"
"Accipitridae","Elanoides","forficatus",417,"Elanoides forficatus"
"Accipitridae","Elanus","axillaris",271,"Elanus axillaris"
"Accipitridae","Elanus","caeruleus",261,"Elanus caeruleus"
"Accipitridae","Elanus","leucurus",346,"Elanus leucurus"
"Accipitridae","Elanus","scriptus",316,"Elanus scriptus"
"Accipitridae","Erythrotriorchis","radiatus",870,"Erythrotriorchis radiatus"
"Accipitridae","Gampsonyx","swainsonii",92.9,"Gampsonyx swainsonii"
"Accipitridae","Geranoaetus","melanoleucus",2463,"Geranoaetus melanoleucus"
"Accipitridae","Geranospiza","caerulescens",304,"Geranospiza caerulescens"
"Accipitridae","Gypaetus","barbatus",5466,"Gypaetus barbatus"
"Accipitridae","Gypohierax","angolensis",1600,"Gypohierax angolensis"
"Accipitridae","Gyps","africanus",5515,"Gyps africanus"
"Accipitridae","Gyps","bengalensis",4385,"Gyps bengalensis"
"Accipitridae","Gyps","coprotheres",8177,"Gyps coprotheres"
"Accipitridae","Gyps","fulvus",7436,"Gyps fulvus"
"Accipitridae","Gyps","himalayensis",10000,"Gyps himalayensis"
"Accipitridae","Gyps","indicus",5515,"Gyps indicus"
"Accipitridae","Gyps","rueppellii",7400,"Gyps rueppellii"
"Accipitridae","Haliaeetus","albicilla",4793,"Haliaeetus albicilla"
"Accipitridae","Haliaeetus","leucocephalus",4740,"Haliaeetus leucocephalus"
"Accipitridae","Haliaeetus","leucogaster",2865,"Haliaeetus leucogaster"
"Accipitridae","Haliaeetus","leucoryphus",2902,"Haliaeetus leucoryphus"
"Accipitridae","Haliaeetus","pelagicus",7757,"Haliaeetus pelagicus"
"Accipitridae","Haliaeetus","vocifer",2807,"Haliaeetus vocifer"
"Accipitridae","Haliastur","indus",529,"Haliastur indus"
"Accipitridae","Haliastur","sphenurus",753,"Haliastur sphenurus"
"Accipitridae","Hamirostra","melanosternon",1196,"Hamirostra melanosternon"
"Accipitridae","Harpagus","bidentatus",219,"Harpagus bidentatus"
"Accipitridae","Harpagus","diodon",200,"Harpagus diodon"
"Accipitridae","Harpia","harpyja",6550,"Harpia harpyja"
"Accipitridae","Harpyhaliaetus","coronatus",2950,"Harpyhaliaetus coronatus"
"Accipitridae","Harpyhaliaetus","solitarius",3000,"Harpyhaliaetus solitarius"
"Accipitridae","Hieraaetus","dubius",827,"Hieraaetus dubius"
"Accipitridae","Hieraaetus","fasciatus",2000,"Hieraaetus fasciatus"
"Accipitridae","Hieraaetus","kienerii",799,"Hieraaetus kienerii"
"Accipitridae","Hieraaetus","morphnoides",791,"Hieraaetus morphnoides"
"Accipitridae","Hieraaetus","pennatus",835,"Hieraaetus pennatus"
"Accipitridae","Hieraaetus","spilogaster",1475,"Hieraaetus spilogaster"
"Accipitridae","Ichthyophaga","humilis",782,"Ichthyophaga humilis"
"Accipitridae","Ichthyophaga","ichthyaetus",2038,"Ichthyophaga ichthyaetus"
"Accipitridae","Ictinaetus","malayensis",1300,"Ictinaetus malayensis"
"Accipitridae","Ictinia","mississippiensis",278,"Ictinia mississippiensis"
"Accipitridae","Ictinia","plumbea",250,"Ictinia plumbea"
"Accipitridae","Kaupifalco","monogrammicus",281,"Kaupifalco monogrammicus"
"Accipitridae","Leptodon","cayanensis",474,"Leptodon cayanensis"
"Accipitridae","Leptodon","forbesi",577,"Leptodon forbesi"
"Accipitridae","Leucopternis","albicollis",710,"Leucopternis albicollis"
"Accipitridae","Leucopternis","kuhli",354,"Leucopternis kuhli"
"Accipitridae","Leucopternis","lacernulata",572.37,"Leucopternis lacernulata"
"Accipitridae","Leucopternis","melanops",327,"Leucopternis melanops"
"Accipitridae","Leucopternis","occidentalis",660,"Leucopternis occidentalis"
"Accipitridae","Leucopternis","plumbea",482,"Leucopternis plumbea"
"Accipitridae","Leucopternis","polionota",696.9,"Leucopternis polionota"
"Accipitridae","Leucopternis","princeps",1000,"Leucopternis princeps"
"Accipitridae","Leucopternis","schistacea",1000,"Leucopternis schistacea"
"Accipitridae","Leucopternis","semiplumbea",288,"Leucopternis semiplumbea"
"Accipitridae","Lophaetus","occipitalis",1067,"Lophaetus occipitalis"
"Accipitridae","Lophoictinia","isura",586,"Lophoictinia isura"
"Accipitridae","Macheiramphus","alcinus",650,"Macheiramphus alcinus"
"Accipitridae","Melierax","canorus",675,"Melierax canorus"
"Accipitridae","Melierax","metabates",705,"Melierax metabates"
"Accipitridae","Micronisus","gabar",178,"Micronisus gabar"
"Accipitridae","Milvus","lineatus",836,"Milvus lineatus"
"Accipitridae","Milvus","migrans",567,"Milvus migrans"
"Accipitridae","Milvus","milvus",1080,"Milvus milvus"
"Accipitridae","Morphnus","guianensis",1750,"Morphnus guianensis"
"Accipitridae","Necrosyrtes","monachus",2043,"Necrosyrtes monachus"
"Accipitridae","Neophron","percnopterus",1892,"Neophron percnopterus"
"Accipitridae","Oroaetus","isidori",1948.3,"Oroaetus isidori"
"Accipitridae","Parabuteo","unicinctus",865,"Parabuteo unicinctus"
"Accipitridae","Pernis","apivorus",758,"Pernis apivorus"
"Accipitridae","Pernis","ptilorhynchus",1126,"Pernis ptilorhynchus"
"Accipitridae","Polemaetus","bellicosus",4063,"Polemaetus bellicosus"
"Accipitridae","Polyboroides","typus",638,"Polyboroides typus"
"Accipitridae","Rostrhamus","hamatus",426,"Rostrhamus hamatus"
"Accipitridae","Rostrhamus","sociabilis",371,"Rostrhamus sociabilis"
"Accipitridae","Sarcogyps","calvus",4550,"Sarcogyps calvus"
"Accipitridae","Spilornis","cheela",931,"Spilornis cheela"
"Accipitridae","Spizaetus","africanus",1047,"Spizaetus africanus"
"Accipitridae","Spizaetus","alboniger",830,"Spizaetus alboniger"
"Accipitridae","Spizaetus","cirrhatus",1480,"Spizaetus cirrhatus"
"Accipitridae","Spizaetus","nanus",560,"Spizaetus nanus"
"Accipitridae","Spizaetus","nipalensis",3013,"Spizaetus nipalensis"
"Accipitridae","Spizaetus","ornatus",1215,"Spizaetus ornatus"
"Accipitridae","Spizaetus","tyrannus",1013,"Spizaetus tyrannus"
"Accipitridae","Spizastur","melanoleucus",850,"Spizastur melanoleucus"
"Accipitridae","Stephanoaetus","coronatus",3640,"Stephanoaetus coronatus"
"Accipitridae","Terathopius","ecaudatus",2200,"Terathopius ecaudatus"
"Accipitridae","Torgus","tracheliotus",6969,"Torgus tracheliotus"
"Accipitridae","Urotriorchis","macrourus",492,"Urotriorchis macrourus"
"Acciptridae","Chelictinia","riocourii",110,"Chelictinia riocourii"
"Aegithalidae","Aegithalos","bonvaloti",6.85,"Aegithalos bonvaloti"
"Aegithalidae","Aegithalos","caudatus",8.6,"Aegithalos caudatus"
"Aegithalidae","Aegithalos","concinnus",6.1,"Aegithalos concinnus"
"Aegithalidae","Aegithalos","fuliginosus",6,"Aegithalos fuliginosus"
"Aegithalidae","Aegithalos","iouschistos",7,"Aegithalos iouschistos"
"Aegithalidae","Aegithalos","leucogenys",6.8,"Aegithalos leucogenys"
"Aegithalidae","Aegithalos","niveogularis",7.8,"Aegithalos niveogularis"
"Aegithalidae","Psaltriparus","minimus",5.3,"Psaltriparus minimus"
"Aegothelidae","Aegotheles","cristatus",42.8,"Aegotheles cristatus"
"Alaudidae","Alaemon","alaudipes",43.9,"Alaemon alaudipes"
"Alaudidae","Alaemon","hamertoni",44,"Alaemon hamertoni"
"Alaudidae","Alauda","arvensis",37.5,"Alauda arvensis"
"Alaudidae","Alauda","gulgula",26.3,"Alauda gulgula"
"Alaudidae","Ammomanes","cincturus",18.8,"Ammomanes cincturus"
"Alaudidae","Ammomanes","deserti",25.1,"Ammomanes deserti"
"Alaudidae","Ammomanes","grayi",22.5,"Ammomanes grayi"
"Alaudidae","Ammomanes","phoenicurus",26.2,"Ammomanes phoenicurus"
"Alaudidae","Calandrella","acutirostris",20.3,"Calandrella acutirostris"
"Alaudidae","Calandrella","brachydactyla",19,"Calandrella brachydactyla"
"Alaudidae","Calandrella","cheleensis",22.2,"Calandrella cheleensis"
"Alaudidae","Calandrella","cinerea",23.7,"Calandrella cinerea"
"Alaudidae","Calandrella","raytal",18.5,"Calandrella raytal"
"Alaudidae","Calandrella","rufescens",24.1,"Calandrella rufescens"
"Alaudidae","Calandrella","somalica",22,"Calandrella somalica"
"Alaudidae","Calendrella","pispoletta",22.5,"Calendrella pispoletta"
"Alaudidae","Certhilauda","albescens",30.6,"Certhilauda albescens"
"Alaudidae","Certhilauda","burra",37.5,"Certhilauda burra"
"Alaudidae","Certhilauda","chuana",44.1,"Certhilauda chuana"
"Alaudidae","Certhilauda","curvirostris",24,"Certhilauda curvirostris"
"Alaudidae","Certhilauda","erythrochlamys",28.1,"Certhilauda erythrochlamys"
"Alaudidae","Chersomanes","albofasciata",24.7,"Chersomanes albofasciata"
"Alaudidae","Chersophilus","duponti",39.4,"Chersophilus duponti"
"Alaudidae","Eremalauda","dunni",20.5,"Eremalauda dunni"
"Alaudidae","Eremalauda","starki",18.5,"Eremalauda starki"
"Alaudidae","Eremophila","alpestris",33,"Eremophila alpestris"
"Alaudidae","Eremophila","bilopha",38.5,"Eremophila bilopha"
"Alaudidae","Eremopterix","australis",14.2,"Eremopterix australis"
"Alaudidae","Eremopterix","grisea",16,"Eremopterix grisea"
"Alaudidae","Eremopterix","leucopareia",14.6,"Eremopterix leucopareia"
"Alaudidae","Eremopterix","leucotis",14.5,"Eremopterix leucotis"
"Alaudidae","Eremopterix","nigriceps",14,"Eremopterix nigriceps"
"Alaudidae","Eremopterix","signata",15.7,"Eremopterix signata"
"Alaudidae","Eremopterix","verticalis",17,"Eremopterix verticalis"
"Alaudidae","Galerida","cristata",41.8,"Galerida cristata"
"Alaudidae","Galerida","deva",20,"Galerida deva"
"Alaudidae","Galerida","magnirostris",41.6,"Galerida magnirostris"
"Alaudidae","Galerida","malabarica",36.8,"Galerida malabarica"
"Alaudidae","Galerida","modesta",20.2,"Galerida modesta"
"Alaudidae","Galerida","theklae",38.2,"Galerida theklae"
"Alaudidae","Heteromirafra","archeri",26,"Heteromirafra archeri"
"Alaudidae","Heteromirafra","ruddi",26.6,"Heteromirafra ruddi"
"Alaudidae","Lullula","arborea",26.9,"Lullula arborea"
"Alaudidae","Melanocorypha","bimaculata",54.1,"Melanocorypha bimaculata"
"Alaudidae","Melanocorypha","leucoptera",45.3,"Melanocorypha leucoptera"
"Alaudidae","Melanocorypha","yeltoniensis",60.1,"Melanocorypha yeltoniensis"
"Alaudidae","Melanocorypha","calandra",61.6,"Melanocorypha calandra"
"Alaudidae","Melanocorypha","maxima",75,"Melanocorypha maxima"
"Alaudidae","Melanocorypha","mongolica",54.2,"Melanocorypha mongolica"
"Alaudidae","Mirafra","africana",45.3,"Mirafra africana"
"Alaudidae","Mirafra","africanoides",23.3,"Mirafra africanoides"
"Alaudidae","Mirafra","albicauda",22.2,"Mirafra albicauda"
"Alaudidae","Mirafra","angolensis",36.3,"Mirafra angolensis"
"Alaudidae","Mirafra","apiata",27,"Mirafra apiata"
"Alaudidae","Mirafra","assamica",26.2,"Mirafra assamica"
"Alaudidae","Mirafra","cantillans",18.7,"Mirafra cantillans"
"Alaudidae","Mirafra","cheniana",24,"Mirafra cheniana"
"Alaudidae","Mirafra","collaris",22,"Mirafra collaris"
"Alaudidae","Mirafra","cordofanica",24,"Mirafra cordofanica"
"Alaudidae","Mirafra","erythroptera",21.3,"Mirafra erythroptera"
"Alaudidae","Mirafra","gilletti",22.4,"Mirafra gilletti"
"Alaudidae","Mirafra","hypermetra",61.4,"Mirafra hypermetra"
"Alaudidae","Mirafra","javanica",23,"Mirafra javanica"
"Alaudidae","Mirafra","passerina",24.7,"Mirafra passerina"
"Alaudidae","Mirafra","poecilosterna",24.4,"Mirafra poecilosterna"
"Alaudidae","Mirafra","pulpa",21.9,"Mirafra pulpa"
"Alaudidae","Mirafra","rufa",24,"Mirafra rufa"
"Alaudidae","Mirafra","rufocinnamomea",26.3,"Mirafra rufocinnamomea"
"Alaudidae","Mirafra","sabota",24.2,"Mirafra sabota"
"Alaudidae","Mirafra","somalica",46.6,"Mirafra somalica"
"Alaudidae","Mirafra","williamsi",22,"Mirafra williamsi"
"Alaudidae","Pinarocorys","erythropygia",30.1,"Pinarocorys erythropygia"
"Alaudidae","Pinarocorys","nigricans",38.2,"Pinarocorys nigricans"
"Alaudidae","Pseudalaemon","fremantlii",23.5,"Pseudalaemon fremantlii"
"Alaudidae","Ramphocoris","clotbey",49.3,"Ramphocoris clotbey"
"Alaudidae","Spizocorys","conirostris",14.3,"Spizocorys conirostris"
"Alaudidae","Spizocorys","fringillaris",19.2,"Spizocorys fringillaris"
"Alaudidae","Spizocorys","obbiensis",13.6,"Spizocorys obbiensis"
"Alaudidae","Spizocorys","personata",19.7,"Spizocorys personata"
"Alaudidae","Spizpcorys","sclateri",19,"Spizpcorys sclateri"
"Alcedinidae","Alcedo","atthis",31.4,"Alcedo atthis"
"Alcedinidae","Alcedo","azurea",34.9,"Alcedo azurea"
"Anatidae","Aythya","affinis",820,"Aythya affinis"
"Anatidae","Aythya","americana",1077,"Aythya americana"
"Anatidae","Aythya","australis",870,"Aythya australis"
"Anatidae","Aythya","baeri",683,"Aythya baeri"
"Anatidae","Aythya","collaris",705,"Aythya collaris"
"Anatidae","Aythya","ferina",823,"Aythya ferina"
"Anatidae","Aythya","fuligula",702,"Aythya fuligula"
"Anatidae","Aythya","marila",1007,"Aythya marila"
"Anatidae","Aythya","nyroca",574,"Aythya nyroca"
"Anatidae","Aythya","valisineria",1203,"Aythya valisineria"
"Anatidae","Biziura","lobata",1975,"Biziura lobata"
"Anatidae","Branta","bernicla",1300,"Branta bernicla"
"Anatidae","Branta","canadensis",3703,"Branta canadensis"
"Anatidae","Branta","leucopsis",1687,"Branta leucopsis"
"Anatidae","Branta","rufficollis",1235,"Branta rufficollis"
"Anatidae","Bucephala","albeola",404,"Bucephala albeola"
"Anatidae","Bucephala","clangula",939,"Bucephala clangula"
"Anatidae","Bucephala","islandica",941,"Bucephala islandica"
"Anatidae","Cairina","moschata",2450,"Cairina moschata"
"Anatidae","Cairina","scutulata",3000,"Cairina scutulata"
"Anatidae","Callonetta","leucophrys",366,"Callonetta leucophrys"
"Anatidae","Chen","caerulescens",2631,"Chen caerulescens"
"Anatidae","Chen","canagica",2148,"Chen canagica"
"Anatidae","Chenonetta","jubata",808,"Chenonetta jubata"
"Anatidae","Chloephaga","melanoptera",2037,"Chloephaga melanoptera"
"Anatidae","Chloephaga","picta",2889,"Chloephaga picta"
"Anatidae","Chloephaga","poliocephala",2025,"Chloephaga poliocephala"
"Anatidae","Chloephaga","rubidiceps",2086,"Chloephaga rubidiceps"
"Anatidae","Clangula","hyemalis",873,"Clangula hyemalis"
"Anatidae","Coscoroba","coscoroba",4327,"Coscoroba coscoroba"
"Anatidae","Cyanochen","cyanopterus",1520,"Cyanochen cyanopterus"
"Anatidae","Cygnus","atratus",5650,"Cygnus atratus"
"Anatidae","Cygnus","buccinator",11100,"Cygnus buccinator"
"Anatidae","Cygnus","columbianus",6400,"Cygnus columbianus"
"Anatidae","Cygnus","cygnus",9350,"Cygnus cygnus"
"Anatidae","Cygnus","melanocorypha",4775,"Cygnus melanocorypha"
"Anatidae","Cygnus","olor",10735,"Cygnus olor"
"Anatidae","Heteronetta","atricapilla",539,"Heteronetta atricapilla"
"Anatidae","Histrionicus","histrionicus",564,"Histrionicus histrionicus"
"Anatidae","Lophodytes","cucullatus",617,"Lophodytes cucullatus"
"Anatidae","Lophonetta","specularioides",787,"Lophonetta specularioides"
"Anatidae","Malacorhynchus","membranaceus",374,"Malacorhynchus membranaceus"
"Anatidae","Marmaronetta","angustirostris",477,"Marmaronetta angustirostris"
"Anatidae","Melanitta","fusca",1790,"Melanitta fusca"
"Anatidae","Melanitta","nigra",1052,"Melanitta nigra"
"Anatidae","Melanitta","perspicillata",1098,"Melanitta perspicillata"
"Anatidae","Merganetta","armata",406,"Merganetta armata"
"Anatidae","Mergellus","albellus",610,"Mergellus albellus"
"Anatidae","Mergus","merganser",1471,"Mergus merganser"
"Anatidae","Mergus","octosetaceus",983,"Mergus octosetaceus"
"Anatidae","Mergus","serrator",1022,"Mergus serrator"
"Anatidae","Mergus","squamatus",1234,"Mergus squamatus"
"Anatidae","Neochen","jubata",1250,"Neochen jubata"
"Anatidae","Netta","erythrophthalma",800,"Netta erythrophthalma"
"Anatidae","Netta","peposaca",1000,"Netta peposaca"
"Anatidae","Netta","rufina",1118,"Netta rufina"
"Anatidae","Nettapus","auritus",266,"Nettapus auritus"
"Anatidae","Nettapus","coromandelianus",392,"Nettapus coromandelianus"
"Anatidae","Nettapus","pulchellus",307,"Nettapus pulchellus"
"Anatidae","Nomonyx","dominicus",366,"Nomonyx dominicus"
"Anatidae","Oxyura","australis",798,"Oxyura australis"
"Anatidae","Oxyura","ferruginea",784,"Oxyura ferruginea"
"Anatidae","Oxyura","jamaicensis",609,"Oxyura jamaicensis"
"Anatidae","Oxyura","leucocephala",665,"Oxyura leucocephala"
"Anatidae","Oxyura","maccoa",687,"Oxyura maccoa"
"Anatidae","Oxyura","vittata",643,"Oxyura vittata"
"Anatidae","Plectropterus","gambensis",3869,"Plectropterus gambensis"
"Anatidae","Pteronetta","hartlaubii",290,"Pteronetta hartlaubii"
"Anatidae","Sarkidiornis","melanotos",2368,"Sarkidiornis melanotos"
"Anatidae","Somateria","fischeri",1559,"Somateria fischeri"
"Anatidae","Somateria","spectabilis",1618,"Somateria spectabilis"
"Anatidae","Somateria","stelleri",808,"Somateria stelleri"
"Anatidae","Speculanas","specularis",1618,"Speculanas specularis"
"Anatidae","Stictonetta","naevosa",906,"Stictonetta naevosa"
"Anatidae","Tachyeres","leucocephalus",3013,"Tachyeres leucocephalus"
"Anatidae","Tachyeres","patachonicus",2831,"Tachyeres patachonicus"
"Anatidae","Tachyeres","pteneres",4772,"Tachyeres pteneres"
"Anatidae","Tadorna","cana",1182,"Tadorna cana"
"Anatidae","Tadorna","cristata",1500,"Tadorna cristata"
"Anatidae","Tadorna","ferruginea",1242,"Tadorna ferruginea"
"Anatidae","Tadorna","radjah",887,"Tadorna radjah"
"Anatidae","Tadorna","tadorna",1152,"Tadorna tadorna"
"Anatidae","Tadorna","tadornoides",1425,"Tadorna tadornoides"
"Anhimidae","Anhima","cornuta",3150,"Anhima cornuta"
"Anhimidae","Chauna","chavaria",2604,"Chauna chavaria"
"Anhimidae","Chauna","torquata",4400,"Chauna torquata"
"Anhingidae","Anhinga","anhinga",1235,"Anhinga anhinga"
"Anhingidae","Anhinga","melanogaster",1495,"Anhinga melanogaster"
"Anhingidae","Anhinga","rufa",1397,"Anhinga rufa"
"Anseranatidae","Anseranas","semipalmata",2419,"Anseranas semipalmata"
"Apodidae","Aeronautes","andecolus",17.8,"Aeronautes andecolus"
"Apodidae","Aeronautes","montivagus",20.2,"Aeronautes montivagus"
"Apodidae","Aeronautes","saxatalis",32.1,"Aeronautes saxatalis"
"Apodidae","Apus","acuticauda",38.7,"Apus acuticauda"
"Apodidae","Apus","affinis",22.6,"Apus affinis"
"Apodidae","Apus","apus",37.6,"Apus apus"
"Apodidae","Apus","barbatus",42.8,"Apus barbatus"
"Apodidae","Apus","batesi",23,"Apus batesi"
"Apodidae","Apus","berliozi",38.2,"Apus berliozi"
"Apodidae","Apus","bradfieldi",42.4,"Apus bradfieldi"
"Apodidae","Apus","caffer",22.1,"Apus caffer"
"Apodidae","Apus","horus",27.5,"Apus horus"
"Apodidae","Apus","melba",26.4,"Apus melba"
"Apodidae","Apus","niansae",32.5,"Apus niansae"
"Apodidae","Apus","nipalensis",30.4,"Apus nipalensis"
"Apodidae","Apus","pacificus",45.3,"Apus pacificus"
"Apodidae","Apus","pallidus",39.9,"Apus pallidus"
"Apodidae","Chaetura","brachyura",18.3,"Chaetura brachyura"
"Apodidae","Chaetura","chapmani",23.9,"Chaetura chapmani"
"Apodidae","Chaetura","cinereiventris",13.9,"Chaetura cinereiventris"
"Apodidae","Chaetura","egregia",23.4,"Chaetura egregia"
"Apodidae","Chaetura","fumosa",19.4,"Chaetura fumosa"
"Apodidae","Chaetura","meridionalis",22.2,"Chaetura meridionalis"
"Apodidae","Chaetura","ocypetes",20,"Chaetura ocypetes"
"Apodidae","Chaetura","pelagica",23.6,"Chaetura pelagica"
"Apodidae","Chaetura","spinicauda",15.7,"Chaetura spinicauda"
"Apodidae","Chaetura","vauxi",17.1,"Chaetura vauxi"
"Apodidae","Chaetura","viridipennis",23,"Chaetura viridipennis"
"Apodidae","Collocalia","brevirostris",12.5,"Collocalia brevirostris"
"Apodidae","Collocalia","esculenta",6.4,"Collocalia esculenta"
"Apodidae","Collocalia","fuciphaga",8.8,"Collocalia fuciphaga"
"Apodidae","Collocalia","germani",13.5,"Collocalia germani"
"Apodidae","Collocalia","maxima",12.8,"Collocalia maxima"
"Apodidae","Collocalia","spodiopygius",6.8,"Collocalia spodiopygius"
"Apodidae","Collocalia","unicolor",11,"Collocalia unicolor"
"Apodidae","Cypseloides","cherriei",22.1,"Cypseloides cherriei"
"Apodidae","Cypseloides","cryptus",35.3,"Cypseloides cryptus"
"Apodidae","Cypseloides","fumigatus",42,"Cypseloides fumigatus"
"Apodidae","Cypseloides","lemosi",28.1,"Cypseloides lemosi"
"Apodidae","Cypseloides","niger",39.9,"Cypseloides niger"
"Apodidae","Cypseloides","phelpsi",21.8,"Cypseloides phelpsi"
"Apodidae","Cypseloides","rothschildi",42,"Cypseloides rothschildi"
"Apodidae","Cypseloides","rutilus",20.2,"Cypseloides rutilus"
"Apodidae","Cypseloides","senex",83.8,"Cypseloides senex"
