"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches"
"Chaetura meridionalis","Chaetura andrei meridionalis",FALSE,1,3595850,TRUE,"infraspecific",1
"Lophoceros nasutus","Tockus camurus",TRUE,0.833333313465118,383917,FALSE,"",1
"Zapornia pusilla","Porzana pusilla",FALSE,1,32330,TRUE,"",1
"Sylvia conspicillata","Curruca conspicillata",FALSE,1,961447,TRUE,"",1
"Tribonyx ventralis","Gallinula ventralis",FALSE,1,3599913,TRUE,"",1
"Chroicocephalus serranus","Larus serranus",FALSE,1,416080,TRUE,"",1
"Carpodacus sibiricus","Uragus sibiricus",FALSE,1,253382,TRUE,"",1
"Radjah radjah","Tadorna radjah",FALSE,1,522863,TRUE,"",1
"Merops nubicoides","Merops nubicus nubicoides",FALSE,1,5560130,TRUE,"infraspecific",1
"Bucanetes mongolicus","Eremopsaltria mongolica",FALSE,1,235463,TRUE,"",1
"Chroicocephalus hartlaubii","Larus hartlaubii",FALSE,1,241571,TRUE,"",1
"Malurus assimilis","Talitrus assimilis",TRUE,0.833333313465118,2983397,FALSE,"hidden",3
"Leistes militaris","Sturnella militaris",FALSE,1,979985,TRUE,"",1
"Amaurornis cinerea","Porzana cinerea",FALSE,1,3599939,TRUE,"",1
"Pitangus lictor","Philohydor lictor",FALSE,1,411373,TRUE,"",1
"Dendroplex picus","Xiphorhynchus picus",FALSE,1,227517,TRUE,"",1
"Orochelidon murina","Notiochelidon murina",FALSE,1,890939,TRUE,"",1
"Periparus venustulus","Pardaliparus venustulus",FALSE,1,24855,TRUE,"",1
"Emberiza goslingi","Fringillaria goslingi",FALSE,1,5267033,TRUE,"",1
"Cantorchilus leucotis","Thryothorus leucotis",FALSE,1,932491,TRUE,"",1
"Lonchura oryzivora","Padda oryzivora",FALSE,1,453058,TRUE,"",1
"Crithagra atrogularis","Serinus atrogularis",FALSE,1,328905,TRUE,"sibling_higher",1
"Coccothraustes vespertinus","Hesperiphona vespertina",FALSE,1,518149,TRUE,"",1
"Agropsar sturninus","Sturnus sturninus",FALSE,1,848366,TRUE,"sibling_higher",1
"Pygochelidon melanoleuca","Atticora melanoleuca",FALSE,1,1063652,TRUE,"",1
"Empidonomus aurantioatrocristatus","Griseotyrannus aurantioatrocristatus",FALSE,1,279128,TRUE,"",1
"Gymnornis xanthocollis","Gymnoris xanthocollis",TRUE,0.952380955219269,3597468,FALSE,"",1
"Emberiza tahapisi","Fringillaria tahapisi",FALSE,1,1094120,TRUE,"",1
"Clanga clanga","Aquila clanga",FALSE,1,325816,TRUE,"",1
"Turdoides malcolmi","Argya malcolmi",FALSE,1,3598530,TRUE,"",1
"Synoicus chinensis","Coturnix chinensis",FALSE,1,144486,TRUE,"",1
"Euodice cantans","Lonchura cantans",FALSE,1,596772,TRUE,"sibling_higher",1
"Phalacrocorax bransfieldensis","Leucocarbo bransfieldensis",FALSE,1,401967,TRUE,"",1
"Rhynchophanes mccownii","Calcarius mccownii",FALSE,1,948132,TRUE,"sibling_higher",1
"Dryobates minor","Dendrocopos minor",FALSE,1,701710,TRUE,"sibling_higher",1
"Aramides cajaneus","Aramides cajanea",TRUE,0.875,906602,FALSE,"",1
"Cassiculus melanicterus","Cacicus melanicterus",TRUE,0.800000011920929,125175,FALSE,"",1
"Pterodroma gouldi","Pterodroma macroptera gouldi",FALSE,1,581903,TRUE,"infraspecific",1
"Megalurus timoriensis","Cincloramphus timoriensis",FALSE,1,964908,TRUE,"",1
"Phylloscopus xanthoschistos","Seicercus xanthoschistos",FALSE,1,908735,TRUE,"",1
"Agelasticus cyanopus","Chrysomus cyanopus",FALSE,1,305322,TRUE,"sibling_higher",1
"Alauda leucoptera","Melanocorypha leucoptera",FALSE,1,3597556,TRUE,"",1
"Yungipicus canicapillus","Dendrocopos canicapillus",FALSE,1,701707,TRUE,"sibling_higher",1
"Icterus pyrrhopterus","Icterus cayanensis pyrrhopterus",FALSE,1,550988,TRUE,"infraspecific",1
"Ianthocincla albogularis","Garrulax rufogularis",TRUE,0.875,3598483,FALSE,"",2
"Lophoceros fasciatus","Taphrocerus fasciatus",TRUE,0.809523820877075,5825670,FALSE,"",2
"Clanga pomarina","Aquila pomarina",FALSE,1,588041,TRUE,"",1
"Chlorestes notata","Chlorostilbon notatus",FALSE,1,781208,TRUE,"",1
"Spatula versicolor","Sporobolus versicolor",TRUE,0.842105269432068,60361,FALSE,"",3
"Phalacrocorax gaimardi","Poikilocarbo gaimardi",FALSE,1,480885,TRUE,"",1
"Myiothlypis flaveola","Basileuterus flaveolus",FALSE,1,865397,TRUE,"",1
"Phalacrocorax penicillatus","Urile penicillatus",FALSE,1,9830,TRUE,"",1
"Streptoprocne rutila","Cypseloides rutilus",FALSE,1,196940,TRUE,"",1
"Megalurus mathewsi","Cincloramphus mathewsi",FALSE,1,865537,TRUE,"",1
"Phalacrocorax magellanicus","Leucocarbo magellanicus",FALSE,1,323108,TRUE,"",1
"Ptilotula ornata","Lichenostomus ornatus",TRUE,0.800000011920929,264920,FALSE,"",1
"Petrochelidon spilodera","Hirundo spilodera",FALSE,1,119539,TRUE,"",1
"Pycnonotus leucogenys","Pycnonotus leucogenis",FALSE,1,597118,TRUE,"",1
"Copsychus malabaricus","Kittacincla malabarica",FALSE,1,466330,TRUE,"",1
"Chrysococcyx lucidus","Chalcites lucidus",FALSE,1,842348,TRUE,"",1
"Chordeiles nacunda","Podager nacunda",FALSE,1,741570,TRUE,"",1
"Geranoaetus polyosoma","Buteo polyosoma",FALSE,1,458097,TRUE,"sibling_higher",1
"Acridotheres burmannicus","Sturnus burmannicus",FALSE,1,848363,TRUE,"sibling_higher",1
"Ptilotula keartlandi","Lichenostomus keartlandi",TRUE,0.842105269432068,701803,FALSE,"",1
"Cheramoeca leucosterna","Cheramoeca leucosternus",FALSE,1,537130,TRUE,"",1
"Psilorhinus morio","Cyanocorax morio",FALSE,1,130898,TRUE,"sibling_higher",1
"Chloropicus fuscescens","Dendropicus fuscescens",TRUE,0.818181812763214,7658185,FALSE,"major_rank_conflict",1
"Sephanoides sephaniodes","Sephanoides sephanoides",FALSE,1,513894,TRUE,"",1
"Ammomanes phoenicura","Ammomanes phoenicurus",FALSE,1,207743,TRUE,"sibling_higher",1
"Psephotus varius","Psephotellus varius",FALSE,1,14155,TRUE,"",1
"Phoenicurus fuliginosus","Rhyacornis fuliginosa",FALSE,1,1566,TRUE,"",1
"Myrmophylax atrothorax","Myrmeciza atrothorax",FALSE,1,515433,TRUE,"",1
"Lophochroa leadbeateri","Cacatua leadbeateri",FALSE,1,209184,TRUE,"",1
"Agropsar philippensis","Sturnus philippensis",FALSE,1,844089,TRUE,"sibling_higher",1
"Ptiliogonys cinereus","Ptilogonys cinereus",FALSE,1,843507,TRUE,"",1
"Motacilla maderaspatensis","Motacilla madaraspatensis",FALSE,1,483332,TRUE,"",1
"Sittiparus varius","Poecile varius",FALSE,1,613888,TRUE,"",1
"Megalurus gramineus","Poodytes gramineus",FALSE,1,480671,TRUE,"",1
"Gymnornis dentata","Gymnoris dentata",TRUE,0.9375,749634,FALSE,"",2
"Mustelirallus albicollis","Porzana albicollis",FALSE,1,304308,TRUE,"",1
"Dryobates nuttallii","Picoides nuttallii",FALSE,1,701703,TRUE,"sibling_higher",1
"Oressochen melanopterus","Chloephaga melanoptera",FALSE,1,140307,TRUE,"",1
"Thryophilus sinaloa","Thryothorus sinaloa",FALSE,1,859841,TRUE,"",1
"Corythaixoides leucogaster","Criniferoides leucogaster",FALSE,1,1013325,TRUE,"",1
"Ceratopipra erythrocephala","Pipra erythrocephala",FALSE,1,361712,TRUE,"",1
"Locustella davidi","Bradypterus davidi",FALSE,1,1072427,TRUE,"sibling_higher",1
"Cercomacroides tyrannina","Cercomacra tyrannina",FALSE,1,101445,TRUE,"",1
"Agricola pallidus","Lemmiscus curtatus",TRUE,0.882352948188782,380665,FALSE,"",2
"Crithagra striolata","Serinus striolatus",FALSE,1,471172,TRUE,"sibling_higher",1
"Pheugopedius felix","Thryothorus felix",FALSE,1,234411,TRUE,"",1
"Peucaea ruficauda","Aimophila ruficauda",FALSE,1,630693,TRUE,"",1
"Phoenicurus leucocephalus","Chaimarrornis leucocephalus",FALSE,1,33126,TRUE,"",1
"Dryobates affinis","Eremobates affinis",TRUE,0.833333313465118,3520139,FALSE,"",3
"Tetrao tetrix","Lyrurus tetrix",FALSE,1,725154,TRUE,"",1
"Pheugopedius maculipectus","Thryothorus maculipectus",FALSE,1,356968,TRUE,"",1
"Zapornia parva","Porzana parva",FALSE,1,3599944,TRUE,"",1
"Turdoides fulva","Argya fulva",FALSE,1,3598524,TRUE,"",1
"Phalacrocorax urile","Urile urile",FALSE,1,744567,TRUE,"",1
"Pternistis adspersus","Francolinus adspersus",FALSE,1,681160,TRUE,"",1
"Myiothlypis leucoblephara","Basileuterus leucoblepharus",FALSE,1,292918,TRUE,"",1
"Porphyriops melanops","Gallinula melanops",FALSE,1,7150,TRUE,"",1
"Cormobates leucophaea","Cormobates leucophaeus",FALSE,1,884906,TRUE,"",1
"Emberiza impetuani","Fringillaria impetuani",FALSE,1,679099,TRUE,"",1
